date,open,high,low,close,adjclose,changed,changep,volume
2015-02-18,209.66,210.22,209.3401,210.13,195.1682,0.019,1e-4,80652941
2015-02-20,209.48,211.33,208.73,211.239,196.1983,1.169,0.006,140896392
2015-02-23,210.94,211.21,210.48,211.209,196.1704,-0.028,-1e-4,74411054
2015-02-24,211.12,212.05,210.76,211.81,196.7286,0.558,0.0028000000000000004,72472263
2015-02-25,211.66,212.24,211.22,211.63,196.5614,-0.167,-8e-4,73061687
2015-03-02,210.78,212.06,210.72,211.99,196.8958,1.235,0.0063,87491428
2015-03-03,211.47,212.054,210.08,211.12,196.0877,-0.808,-0.0040999999999999995,110325809
2015-03-04,210.4,210.49,209.06,210.2301,195.2612,-0.827,-0.0042,114497192
2015-03-05,210.62,210.8,209.85,210.46,195.4747,0.214,0.0011,76872957
2015-03-06,209.42,209.94,207.1,207.5,192.7255,-2.749,-0.0141,188127982
2015-03-09,207.74,208.79,207.5459,208.36,193.5243,0.799,0.0040999999999999995,89818893
2015-03-10,206.71,206.81,204.93,204.98,190.3849,-3.139,-0.016200000000000003,157121263
2015-03-11,205.29,205.5,204.4,204.5,189.9391,-0.446,-0.0023,110145718
2015-03-12,205.26,207.175,205.2,207.1,192.354,2.415,0.0127,93993523
2015-03-13,206.77,207.9338,204.58,205.8272,191.1718,-1.182,-0.0060999999999999995,162410893
2015-03-16,206.71,208.69,205.8641,208.58,193.7286,2.557,0.0134,136099192
2015-03-17,207.69,208.42,206.98,207.96,193.1527,-0.576,-0.003,94510422
2015-03-18,207.39,211.27,206.62,210.46,195.4747,2.322,0.012,228808524
2015-03-19,209.96,210.4697,209.03,209.5,194.5831,-0.892,-0.0046,117917302
2015-03-20,209.71,211.02,209.4903,210.41,196.3004,1.717,0.0088,177715081
2015-03-23,210.42,211.11,210,210,195.9179,-0.383,-0.0019,71784536
2015-03-24,209.85,210.4,208.74,208.82,194.8171,-1.101,-0.005600000000000001,77805321
2015-03-25,209.07,209.35,205.71,205.76,191.9623,-2.855,-0.0147,159521708
2015-03-26,204.96,206.37,204.12,205.27,191.5051,-0.457,-0.0024,153067241
2015-03-27,205.13,205.95,204.9,205.74,191.9436,0.438,0.0023,118938966
2015-03-30,206.98,208.61,206.96,208.25,194.2853,2.342,0.012199999999999999,96180365
2015-04-01,206.39,206.42,204.51,205.7,191.9063,-0.681,-0.0034999999999999996,137303584
2015-04-02,205.62,206.98,205.4,206.435,192.592,0.686,0.0036,86900906
2015-04-06,205.37,208.45,205.21,207.83,193.8935,1.301,0.0068000000000000005,114368155
2015-04-07,207.855,208.76,207.24,207.28,193.3803,-0.513,-0.0026,81236337
2015-04-08,207.55,208.51,207.08,207.975,194.0287,0.648,0.0034000000000000002,89351939
2015-04-09,207.78,209.18,207.19,208.9,194.8917,0.863,0.0044,85548854
2015-04-10,209.2,210.09,208.96,210.04,195.9553,1.064,0.0055000000000000005,72722915
2015-04-13,209.87,210.63,209.03,209.09,195.069,-0.886,-0.0045000000000000005,74436594
2015-04-14,208.85,209.71,208.1,209.49,195.4421,0.373,0.0019,75099866
2015-04-16,210.03,210.98,209.7928,210.37,196.2631,-0.056,-3e-4,68934864
2015-04-17,208.94,209.23,207.01,207.95,194.0054,-2.258,-0.0115,191113230
2015-04-20,209.06,210.25,208.96,209.85,195.778,1.773,0.0091,92189481
2015-04-22,210.01,210.85,208.9,210.63,196.5057,0.961,0.0049,78264616
2015-04-23,210.15,211.94,210.01,211.16,197.0002,0.494,0.0025,102585942
2015-04-24,211.66,211.97,211.11,211.6499,197.4572,0.457,0.0023,61327387
2015-04-27,212.33,212.48,210.54,210.77,196.6363,-0.821,-0.0042,79358126
2015-04-28,210.74,211.5,209.3301,211.44,197.2614,0.625,0.0032,86863531
2015-04-29,210.37,211.29,209.6,210.57,196.4497,-0.812,-0.0040999999999999995,125684903
2015-04-30,209.88,210.35,207.62,208.46,194.4812,-1.969,-0.01,161304890
2015-05-01,209.4,210.77,209.28,210.72,196.5897,2.108,0.0108,103399711
2015-05-04,211.23,212.02,211.1,211.32,197.14940000000001,0.56,0.0028000000000000004,70927235
2015-05-05,211.03,211.46,208.73,208.9,194.8917,-2.258,-0.0115,113326156
2015-05-06,209.56,209.93,206.76,208.04,194.0894,-0.802,-0.0040999999999999995,135060151
2015-05-07,207.92,209.38,207.52,208.87,194.8637,0.774,0.004,88244940
2015-05-08,210.88,211.86,210.78,211.62,197.4293,2.566,0.0132,155877260
2015-05-12,209.61,210.63,208.62,209.98,195.8993,-0.583,-0.003,119727592
2015-05-13,210.47,211.22,209.74,210.02,195.9366,0.037,2e-4,94667943
2015-05-15,212.44,212.61,211.86,212.44,198.1943,0.215,0.0011,76510099
2015-05-18,212.24,213.4,212.16,213.1,198.8101,0.616,0.0031,74549685
2015-05-20,213.15,213.78,212.504,212.88,198.6048,-0.14,-7.000000000000001e-4,76857530
2015-05-21,212.71,213.75,212.51,213.5,199.1832,0.578,0.0029,64764585
2015-05-22,213.04,213.54,212.91,212.99,198.7074,-0.476,-0.0024,57433495
2015-05-26,212.4,212.9089,210.2,210.7,196.571,-2.136,-0.0108,124308584
2015-05-27,211.25,212.98,210.7612,212.7,198.4369,1.866,0.0095,93213981
2015-05-28,212.33,212.59,211.63,212.46,198.213,-0.224,-0.0011,74974560
2015-05-29,212.38,212.43,210.82,211.14,196.9815,-1.231,-0.0062,124919611
2015-06-03,212,212.67,211.3301,211.92,197.7092,0.522,0.0026,87820909
2015-06-05,209.95,210.58,208.98,209.77,195.7034,-0.335,-0.0017000000000000001,121704676
2015-06-08,209.64,209.82,208.39,208.48,194.4999,-1.203,-0.0060999999999999995,89063330
2015-06-09,208.45,209.1,207.69,208.45,194.4719,-0.028,-1e-4,105034690
2015-06-10,209.37,211.41,209.2987,210.95,196.8042,2.332,0.012,134551285
2015-06-11,211.48,212.09,211.2,211.63,197.4386,0.634,0.0032,73876447
2015-06-12,210.64,211.482,209.68,210.01,195.9273,-1.511,-0.0077,135382369
2015-06-15,208.64,209.45,207.79,209.11,195.0876,-0.84,-0.0043,124384184
2015-06-16,208.93,210.35,208.72,210.25,196.1512,1.064,0.0055000000000000005,85308227
2015-06-18,211.31,213.34,210.6315,212.78,198.5115,2.043,0.0104,165867949
2015-06-19,211.46,211.55,210.36,210.81,197.6304,-0.881,-0.0044,130478689
2015-06-22,211.905,212.59,211.64,211.89,198.6428,1.012,0.0051,70696027
2015-06-24,211.72,212.17,210.47,210.5,197.3397,-1.444,-0.0073,92307318
2015-06-29,208.045,209.828,205.33,205.42,192.5773,-4.125,-0.021,202621332
2015-06-30,207.26,207.32,205.28,205.85,192.9804,0.403,0.0021,182925106
2015-07-01,207.73,208.03,206.56,207.5,194.5273,1.547,0.008,135979873
2015-07-07,206.96,208.17,204.11,208.02,195.0148,1.219,0.0063,173820249
2015-07-08,205.7748,206.7645,204.25,204.53,191.743,-3.272,-0.0168,164020059
2015-07-10,207.29,207.98,204.9517,207.48,194.5085,2.419,0.0126,129456890
2015-07-14,209.72,211.05,209.65,210.68,197.5085,0.853,0.0043,81709575
2015-07-15,210.73,211.28,210.04,210.61,197.4429,-0.066,-3e-4,97914141
2015-07-20,212.75,213.18,212.21,212.59,199.2991,0.103,5e-4,70446821
2015-07-21,212.43,212.74,211.39,211.75,198.5116,-0.787,-0.004,77965048
2015-07-27,206.94,207.55,206.26,206.79,193.8617,-1.134,-0.0058,132361082
2015-07-28,207.79,209.5,206.8,209.33,196.2429,2.381,0.0123,123544845
2015-07-31,211.42,211.45,210.16,210.5,197.3397,-0.3,-0.0015,103266857
2015-08-03,210.46,210.53,208.65,209.79,196.6741,-0.666,-0.0034000000000000002,113965728
2015-08-05,210.45,211.31,209.73,210.07,196.9366,0.647,0.0033,85786817
2015-08-06,210.29,210.415,207.65,208.35,195.3242,-1.612,-0.008199999999999999,116030803
2015-08-10,209.28,210.67,209.28,210.57,197.4054,2.456,0.0126,80270676
2015-08-11,208.97,209.47,207.76,208.67,195.6241,-1.781,-0.009000000000000001,126081377
2015-08-12,207.11,209.14,205.36,208.92,195.8585,0.234,0.0012,172123672
2015-08-13,208.73,209.55,208.01,208.66,195.6148,-0.244,-0.0012,89383253
2015-08-14,208.43,209.5087,208.26,209.42,196.3273,0.712,0.0036,72786528
2015-08-17,208.71,210.59,208.16,210.59,197.4241,1.097,0.005600000000000001,79072643
2015-08-18,210.26,210.68,209.699,209.98,196.8522,-0.572,-0.0029,71692678
2015-08-19,209.09,210.01,207.35,208.32,195.296,-1.556,-0.0079,172864412
2015-08-20,206.51,208.2865,203.9,203.97,191.218,-4.078,-0.0209,194327884
2015-08-21,201.73,203.9404,197.52,197.63,185.27440000000001,-5.944,-0.0311,346588469
2015-08-24,187.49,197.4772,182.4,189.55,177.6995,-7.575,-0.0409,507244333
2015-08-25,195.43,195.45,186.92,187.27,175.5621,-2.137,-0.012,369833071
2015-08-26,192.08,194.79,188.37,194.46,182.3025,6.74,0.0384,339256986
